player,first,last,name,position1
RF-1075,Jamison,Crowder,Jamison Crowder,WR
MG-0850,Corey,Davis,Corey Davis,WR
QO-0200,Geremy,Davis,Geremy Davis,WR
TH-2337,Rashard,Davis,Rashard Davis,WR
TD-0737,Robert,Davis,Robert Davis,WR
WD-0550,Trevor,Davis,Trevor Davis,WR
TE-0300,Stefon,Diggs,Stefon Diggs,WR
TC-0450,Phillip,Dorsett,Phillip Dorsett,WR
RM-5050,Greg,Dortch,Greg Dortch,WR
SW-0450,Keelan,Doss,Keelan Doss,WR
ML-0650,Ashton,Dulin,Ashton Dulin,WR
RN-0025,Julian,Edelman,Julian Edelman,WR
TB-1060,Quincy,Enunwa,Quincy Enunwa,WR
LS-1900,Alex,Erickson,Alex Erickson,WR
TH-1625,Mike,Evans,Mike Evans,WR
SW-0350,Larry,Fitzgerald,Larry Fitzgerald,WR
RH-1950,Isaiah,Ford,Isaiah Ford,WR
TS-1450,Robert,Foster,Robert Foster,WR
MG-1050,Bennie,Fowler,Bennie Fowler,WR
WG-0050,Travis,Fulgham,Travis Fulgham,WR
ZL-0200,Will,Fuller,Will Fuller,WR
PP-0350,Devin,Funchess,Devin Funchess,WR
TS-3662,Taylor,Gabriel,Taylor Gabriel,WR
TS-1425,Rico,Gafford,Rico Gafford,WR
TE-0025,Russell,Gage,Russell Gage,WR
TC-1975,Michael,Gallup,Michael Gallup,WR
VB-0325,Ted,Ginn,Ted Ginn,WR
MH-0875,Chris,Godwin,Chris Godwin,WR
SP-0850,Kenny,Golladay,Kenny Golladay,WR
TL-1037,Marquise,Goodwin,Marquise Goodwin,WR
RG-1870,Josh,Gordon,Josh Gordon,WR
RS-0687,Jakeem,Grant,Jakeem Grant,WR
TF-1500,Ryan,Grant,Ryan Grant,WR
MB-3325,Cyril,Grayson,Cyril Grayson,WR
RA-1125,Jalen,Guyton,Jalen Guyton,WR
TY-0150,Marvin,Hall,Marvin Hall,WR
MG-0293,DaeSean,Hamilton,DaeSean Hamilton,WR
TS-1262,Mecole,Hardman,Mecole Hardman,WR
RT-0150,Justin,Hardy,Justin Hardy,WR
SC-1850,Kelvin,Harmon,Kelvin Harmon,WR
PL-0012,Deonte,Harris,Deonte Harris,WR
