player,first,last,name,position1,game1,game2,game3,game4,game5,game6,game7,game8,game9,game10,game11,game12,game13,game14,game15,game16
Darren Sproles,Darren,Sproles,Darren Sproles,RB,0.0,1.7,2.1,0.7000000000000001,-2.0,0,0.0,0.3,0.4,0.6,0.0,0.2,-2.0,0.0,0.0,0.0
Frank Gore,Frank,Gore,Frank Gore,RB,3.8,1.5,4.7,-2.8,4.5,16.9,3.3,3.5999999999999996,5.5,0,0,3.3000000000000007,1.1,13.600000000000001,18.8,12.100000000000001
Adrian Peterson,Adrian,Peterson,Adrian Peterson,RB,24.3,11.8,19.0,11.799999999999999,45.3,11.5,7.0,51.5,5.9,0,0,24.6,0.3,21.5,4.800000000000001,3.6
Marshawn Lynch,Marshawn,Lynch,Marshawn Lynch,RB,15.9,8.5,14.0,13.9,9.8,15.8,8.7,28.32,16.5,0,0,0.0,8.7,8.2,17.2,12.7
LeSean McCoy,LeSean,McCoy,LeSean McCoy,RB,4.699999999999999,5.5,15.3,2.9,1.3,6.7,17.2,11.5,2.3,13.9,12.1,2.6,5.4,11.600000000000001,6.6,0.9
James Develin,James,Develin,James Develin,RB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Anthony Sherman,Anthony,Sherman,Anthony Sherman,RB,0.6,0,0.6,2.4,0,1.5,0,0,0,0,0.4,0.0,0,0.6,0,1.4000000000000001
Bilal Powell,Bilal,Powell,Bilal Powell,RB,0,0,0,0,0,0,0,0,0,1.8,0,0.0,1.0,0,0,0
Dion Lewis,Dion,Lewis,Dion Lewis,RB,0.7,0.0,0.3,0.0,0.8,1.0,0,0.0,0.2,0.1,0.0,0.0,0,-1.0,0,11.8
Mark Ingram,Mark,Ingram,Mark Ingram,RB,4.0,3.0999999999999996,9.5,5.8,10.899999999999999,8.799999999999999,9.7,0,0,1.4000000000000001,15.4,11.4,0,0,0,0
Nick Bellore,Nick,Bellore,Nick Bellore,RB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Patrick DiMarco,Patrick,DiMarco,Patrick DiMarco,RB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Taiwan Jones,Taiwan,Jones,Taiwan Jones,RB,0,0.4,0.30000000000000004,0.0,0.0,0.0,4.8,0.1,3.9,0.3,0,0.0,0,0,0,0
Alfred Morris,Alfred,Morris,Alfred Morris,RB,21.6,8.9,13.8,16.900000000000002,13.5,11.6,11.0,5.9,7.6,8.299999999999999,17.3,10.4,16.9,21.3,16.8,39.2
Brandon Bolden,Brandon,Bolden,Brandon Bolden,RB,1.1,0,6.4,20.8,5.4,2.8,0,0,0,0,0,0.0,1.1,0,0.3,2.6
Jamize Olawale,Jamize,Olawale,Jamize Olawale,RB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
C.J. Anderson,C.J.,Anderson,C.J. Anderson,RB,0,0,0,0,0,0,0,2.2,0,0,1.6,0.0,0,0,0,0
Chris Thompson,Chris,Thompson,Chris Thompson,RB,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0
Giovani Bernard,Giovani,Bernard,Giovani Bernard,RB,3.0,18.5,15.9,7.5,4.9,16.0,5.9,2.7,22.4,15.5,8.6,6.6000000000000005,14.8,10.600000000000001,6.7,7.3
Kenjon Barner,Kenjon,Barner,Kenjon Barner,RB,0,0,0,0.5,0,0,0.30000000000000004,0,0,0,0,0.6,0,0.0,0,0
Kyle Juszczyk,Kyle,Juszczyk,Kyle Juszczyk,RB,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0.0,0
Le'Veon Bell,Le'Veon,Bell,Le'Veon Bell,RB,0,0,0,20.4,5.6,9.9,11.100000000000001,13.9,15.6,8.8,9.8,19.6,8.0,16.7,16.9,15.6
Latavius Murray,Latavius,Murray,Latavius Murray,RB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Rex Burkhead,Rex,Burkhead,Rex Burkhead,RB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Spencer Ware,Spencer,Ware,Spencer Ware,RB,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Zach Line,Zach,Line,Zach Line,RB,0.8,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Carlos Hyde,Carlos,Hyde,Carlos Hyde,RB,11.0,0.5,7.1,2.6,4.3,1.5,2.3,2.2,9.6,3.0,5.6,5.699999999999999,1.2000000000000002,5.5,0,0
Devonta Freeman,Devonta,Freeman,Devonta Freeman,RB,3.3,2.2,-0.10000000000000009,2.0,8.2,3.1,3.7,7.2,1.4000000000000001,2.8,0.7,3.0,0.8,3.0,14.399999999999999,1.6
Damien Williams,Damien,Williams,Damien Williams,RB,0.0,1.9,-0.3,2.3,1.4,1.0999999999999999,0,5.1,6.1,3.8,-0.1,0.0,1.1,0.9,12.8,2.2
James White,James,White,James White,RB,0,0,0,3.6,0,0,0,1.7,0,0,0,0.0,0,0,0,0.8
Keith Smith,Keith,Smith,Keith Smith,RB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Roosevelt Nix,Roosevelt,Nix,Roosevelt Nix,RB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Senorise Perry,Senorise,Perry,Senorise Perry,RB,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,-0.1,0.0,0.0,0,0
Ameer Abdullah,Ameer,Abdullah,Ameer Abdullah,RB,15.4,1.8,10.200000000000001,4.4,0.5,6.9,4.3,0.3,2.2,4.6000000000000005,7.5,6.7,4.4,12.899999999999999,4.8,5.1000000000000005
David Johnson,David,Johnson,David Johnson,RB,13.5,16.5,4.1,12.1,12.6,1.7000000000000002,2.4,4.800000000000001,0.8,8.6,8.9,18.0,12.299999999999999,42.900000000000006,18.700000000000003,5.9
Duke Johnson,Duke,Johnson,Duke Johnson,RB,2.2,4.3,3.5,17.6,7.7,5.6,9.0,7.1,9.8,2.8,5.0,3.2,8.4,8.5,4.1,4.5
Jay Ajayi,Jay,Ajayi,Jay Ajayi,RB,0,0,0,0,0,0,0,4.1,4.8,3.5999999999999996,5.8,3.2,1.5,10.2,2.3,0.2
Javorius Allen,Javorius,Allen,Javorius Allen,RB,3.4,0.7,1.2,1.9,5.8,2.1,3.5,3.1,2.3,11.5,14.4,25.0,3.8000000000000007,-0.19999999999999996,17.2,7.0
Malcolm Brown,Malcolm,Brown,Malcolm Brown,RB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.5
Mike Burton,Mike,Burton,Mike Burton,RB,0,0.2,0,0.3,0.6,0,0.0,0,0.0,0,0,0.0,1.2,7.0,0,0.8
Mike Davis,Mike,Davis,Mike Davis,RB,0,1.7999999999999998,1.1,0,0,0.0,0,1.7999999999999998,0,0,0,0.0,0,0,0,4.9
Melvin Gordon,Melvin,Gordon,Melvin Gordon,RB,4.699999999999999,9.8,5.1,4.6,7.4,0.8999999999999999,2.9,6.1000000000000005,5.6,4.9,8.0,4.3,6.3,4.699999999999999,0,0
Raheem Mostert,Raheem,Mostert,Raheem Mostert,RB,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-2.0,0
Tevin Coleman,Tevin,Coleman,Tevin Coleman,RB,8.0,9.2,0,0,0.3,2.0,1.4,2.1,0.3,2.8,9.0,1.7000000000000002,1.5,2.3,0,0
Todd Gurley,Todd,Gurley,Todd Gurley,RB,0,0,1.4,16.1,15.9,28.3,22.6,16.9,14.9,10.6,3.0,4.1,26.7,13.9,15.0,0
Ty Montgomery,Ty,Montgomery,Ty Montgomery,RB,0.0,3.7,7.4,2.5,11.9,1.5,0,0,0,0,0,0.0,0,0,0,0
T.J. Yeldon,T.J.,Yeldon,T.J. Yeldon,RB,6.699999999999999,8.3,4.2,10.9,12.299999999999999,0,18.4,10.100000000000001,6.699999999999999,8.2,8.2,19.6,6.3,0,0,0
Zach Zenner,Zach,Zenner,Zach Zenner,RB,0.6,0,0,1.3,3.7,1.5,0,0,0,0,0,0.0,0,0,0,0
Andy Janovich,Andy,Janovich,Andy Janovich,RB,8.8,1.1,1.5,0,0.2,0,1.3,0,0,0.9,-0.1,0.0,0,0,0,0
C.J. Ham,C.J.,Ham,C.J. Ham,RB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
C.J. Prosise,C.J.,Prosise,C.J. Prosise,RB,1.1,0,0,0,0,1.7,10.3,1.5,15.299999999999999,16.1,0,0.0,0,0,0,0
Devontae Booker,Devontae,Booker,Devontae Booker,RB,-1.2,5.1,2.5,3.0,5.9,5.3,14.700000000000001,12.4,3.0,8.799999999999999,10.100000000000001,9.7,1.1,3.3,5.1000000000000005,24.9
D.J. Foster,D.J.,Foster,D.J. Foster,RB,0,0.8999999999999999,0,0,1.7,0.0,0,0,0,0,0,0.0,0,0,0,0
Derrick Henry,Derrick,Henry,Derrick Henry,RB,4.3999999999999995,4.9,4.5,0.9,5.4,2.7,0.3,15.7,0,3.1,0,12.0,4.7,17.8,3.5,12.8
Dan Vitale,Dan,Vitale,Dan Vitale,RB,0,0,0,0,0,0,0,0,0,0,0,-0.4,0.0,1.7,1.5,-0.1
DeAndre Washington,DeAndre,Washington,DeAndre Washington,RB,2.4,5.199999999999999,6.2,2.5999999999999996,5.199999999999999,4.9,2.2,3.2,3.5,0.0,0,0.0,0,3.4,23.7,5.699999999999999
Dwayne Washington,Dwayne,Washington,Dwayne Washington,RB,6.1,3.1,3.5,1.4,0,0,0,0,2.6,2.1,1.9,4.0,7.4,4.0,2.6,0
Derek Watt,Derek,Watt,Derek Watt,RB,0.0,0,0.6,0,0.2,0.8,0,5.3,0,0,0,0.2,0,0,1.6,0
