player,first,last,name,position1,game1,game2,game3,game4,game5,game6,game7,game8,game9,game10,game11,game12,game13,game14,game15,game16
Jason Moore,Jason,Moore,Jason Moore,WR,0,0,0,0,0,4.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Smith,Jeff,Smith,Jeff Smith,WR,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.2,0.0,0.0
John Ursua,John,Ursua,John Ursua,WR,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.1
Juwann Winfree,Juwann,Winfree,Juwann Winfree,WR,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Keelan Doss,Keelan,Doss,Keelan Doss,WR,0,0,0,1.4,1.1,5.4,0,0,0,0,0,1.1,2.6,1.7,0.0,0.0
Kelvin Harmon,Kelvin,Harmon,Kelvin Harmon,WR,3.1,0,0,1.4,0.4,0.8,0.0,1.2,0.6,5.3,4.3,5.1,3.0,2.2,6.24,3.3
KeeSean Johnson,KeeSean,Johnson,KeeSean Johnson,WR,4.6,5.1,1.3,1.9,2.5,1.4,0.6,0,8.2,0.0,-0.6000000000000001,0.0,0.0,0.0,0.0,0.0
Lil'Jordan Humphrey,Lil'Jordan,Humphrey,Lil'Jordan Humphrey,WR,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Miles Boykin,Miles,Boykin,Miles Boykin,WR,6.5,1.1,0.0,9.2,0,2.8,5.5,0.0,0,0.0,5.4,0.0,0.0,6.5,0.8,0.0
Marquise Brown,Marquise,Brown,Marquise Brown,WR,30.7,8.6,4.9,2.2,8.2,0,0,4.8,14.0,2.3,16.2,0.1,-0.2,10.5,0.6,1.5
Mecole Hardman,Mecole,Hardman,Mecole Hardman,WR,0.0,14.1,18.4,-1.1,7.300000000000001,4.5,8.8,11.5,-1.3,14.3,1.3,0.9,12.8,1.0,0.0,9.0
Michael Walker,Michael,Walker,Michael Walker,WR,0,0,0,0,0,0,0,0,0.0,0.0,-2.0,0.6,0.9,0.0,-2.0,0.0
